Products,huawei_eng_name,huawei_chn_name,eng_description,chn_description
Compute,Elastic Cloud Server,弹性云服务器 ECS,"Elastic Cloud Server (ECS) is a cloud server that provides scalable, on-demand computing resources for secure, flexible, and efficient applications.",弹性云服务器（Elastic Cloud Server）是一种可随时自助获取、可弹性伸缩的云服务器，可帮助您打造可靠、安全、灵活、高效的应用环境，确保服务持久稳定运行，提升运维效率。
,Bare Metal Server,裸金属服务器 BMS,Bare Metal Server (BMS) features both the scalability of VMs and high performance of physical servers. It provides dedicated servers on the cloud that offer the computing performance and data security.,裸金属服务器（Bare Metal Server）是一款兼具虚拟机弹性和物理机性能的计算类服务，为您和您的企业提供专属的云上物理服务器，为核心数据库、关键应用系统、高性能计算、大数据等业务提供卓越的计算性能以及数据安全。
,Auto Scaling,弹性伸缩 AS,Auto Scaling (AS) is a service that automatically adjusts resources based on your service requirements and configured AS policies.,弹性伸缩（Auto Scaling）根据用户的业务需求和策略，自动调整资源。可配置定时、周期或告警策略，使用户资源随业务负载增长而增加，随业务负载降低而减少，节省云上业务资费，保障业务平稳健康运行。
,Image Management Service,镜像服务 IMS,"An image is a template used to create servers or disks. Image Management Service (IMS) provides full lifecycle management for images, helping you quickly deploy services.",镜像是用于创建服务器或磁盘的模板。镜像服务（Image Management Service，IMS）提供镜像的全生命周期管理能力，帮助用户快速部署业务。
,Dedicated Host,专属主机 DeH,"Dedicated Host (DeH) is a service that provides dedicated physical hosts. You can create ECSs on a DeH to enhance isolation, security, and performance of your ECSs.",专属主机（Dedicated Host），是指用户可独享的专属物理主机资源。您可以将云服务器创建在您的专属主机上，从而满足您对隔离性、安全性、性能的更高要求。
,FunctionGraph,函数工作流 FunctionGraph,FunctionGraph hosts and computes functions in a serverless context. It automatically scales to suit fluctuations in resource demands during peaks and spikes while requiring no reservation of dedicated servers or capacities.,函数工作流（FunctionGraph）是华为云提供的一款无服务器（Serverless）计算服务，无服务器计算是一种托管服务，服务提供商会实时为你分配充足的资源，而不需要预留专用的服务器或容量。
,,,,
Storage,Object Storage Service,对象存储服务 OBS,"Object Storage Service (OBS) is a stable, secure, efficient, and easy-to-use cloud storage service that is scalable and compatible, allowing storage of any amount of unstructured data in any format.",对象存储服务（Object Storage Service，OBS）提供海量、安全、高可靠、低成本的数据存储能力，可供用户存储任意类型和大小的数据。适合企业备份/归档、视频点播、视频监控等多种数据存储场景。
,Elastic Volume Service,云硬盘 EVS,"Elastic Volume Service (EVS) offers scalable block storage with high reliability, high performance, and abundant specifications for cloud servers. EVS disks can be used for various scenarios to meet diverse business requirements.",云硬盘（Elastic Volume Service）可以为云服务器提供高可靠、高性能、规格丰富并且可弹性扩展的块存储服务，可满足不同场景的业务需求，适用于分布式文件系统、开发测试、数据仓库以及高性能计算等场景。
,Cloud Backup and Recovery,云备份 CBR,"Cloud Backup and Recovery (CBR) lets you back up cloud servers, disks, and on-premises VMware VMs. In case of a virus intrusion, accidental deletion, or software/hardware fault, data can be restored to any backup point.",云备份（Cloud Backup and Recovery，CBR）为云上的弹性云服务器、裸金属服务器、云硬盘和云下VMware虚拟化环境，提供简单易用的备份服务，针对病毒入侵、人为误删除、软硬件故障等场景，可将数据恢复到任意备份点。
,Content Delivery Network,内容分发网络 CDN,"Content Delivery Network (CDN) delivers content from origins to edge nodes, so end users can obtain desired content from nearby nodes. CDN speeds up website response, ensures content availability, and prevents network traffic bottlenecks.",CDN（Content Delivery Network，内容分发网络）是将源站内容分发至靠近用户的加速节点，使用户可以就近获得所需的内容，解决Internet网络拥挤的状况，提高用户访问的响应速度和成功率，从而提升您业务的使用体验。
,Storage Disaster Recovery Service,存储容灾服务 SDRS,"SDRS provides DR services for many cloud services, such as ECS, DSS, and EVS. SDRS uses multiple technologies, such as storage replication, data redundancy, and cache acceleration, to provide high data reliability and service",存储容灾服务（Storage Disaster Recovery Service）是一种为弹性云服务器、云硬盘和专属分布式存储等服务提供容灾的服务。通过存储复制、数据冗余和缓存加速等多项技术，提供给用户高级别的数据可靠性以及业务连续性，简称存储容灾。
,Scalable File Service,弹性文件服务 SFS,"Scalable File Service (SFS) provides high-performance file storage (NAS) with on-demand scalability. SFS also allows shared access among Elastic Cloud Servers (ECSs), Bare Metal Servers (BMSs), and cloud containers.",弹性文件服务（Scalable File Service，SFS）提供按需扩展的高性能文件存储（NAS），可为云上多个弹性云服务器（Elastic Cloud Server，ECS），容器（CCE），裸金属服务器（BMS）提供共享访问
,Volume Backup Service,云硬盘备份 VBS,"Volume Backup Service (VBS) allows you to back up Elastic Volume Service (EVS) disks and restore EVS disks from backups, keeping your data on EVS disks accurate and secure.",云硬盘备份（Volume Backup Service）可为云硬盘创建备份，利用备份数据回滚云硬盘，以最大限度保证用户数据正确性和安全性，确保您的云硬盘安全。
,Cloud Server Backup Service,云服务器备份 CSBS,"Cloud Server Backup Service (CSBS) allows you to back up Elastic Cloud Servers (ECSs) and restore server data from backups, keeping your data accurate and secure.",云服务器备份（Cloud Server Backup Service）可为云服务器创建备份，利用备份数据恢复云服务器业务数据，最大限度保障用户数据的安全性和正确性，确保业务安全。
,Data Express Service,数据快递服务 DES,"Data Express Service (DES) is a TB- or PB-scale data transmission service. It uses physical storage media (such as external USB flash drives and eSATA disks) to transmit a large amount of data to HUAWEI CLOUD, saving time and costs.",数据快递服务（Data Express Service）是一种海量数据传输解决方案，支持TB到PB级数据上云，通过Teleport设备或硬盘（外置USB接口、SATA接口、SAS接口类型）向华为云传输大量数据，解决海量数据传输网络成本高、传输时间长等难题。
,Dedicated Enterprise Storage Service,专属企业存储服务 DESS,"Dedicated Enterprise Storage Service (DESS) provides dedicated HUAWEI CLOUD-based storage services to enterprises. Optimized for enterprises' mission critical applications such as Oracle RAC and SAP HANA TDI, DESS provides the same superb performance and reliability as enterprise private cloud and simplifies service deployment on public cloud for enterprise users.",专属企业存储服务（Dedicated Enterprise Storage Service，以下简称DESS），是基于华为企业存储构建的专属存储服务，面向Oracle RAC、SAP HANA TDI等企业关键应用场景，可以提供与企业私有云环境一致的性能和可靠性，简化企业级用户在公有云上部署关键应用的难度。
,,,,
Network,Virtual Private Cloud,虚拟私有云 VPC,"The Virtual Private Cloud (VPC) service enables you to provision logically isolated, configurable, and manageable virtual networks for cloud servers, cloud containers, and cloud databases, improving cloud service security and simplifying",虚拟私有云（Virtual Private Cloud）是用户在华为云上申请的隔离的、私密的虚拟网络环境。用户可以自由配置VPC内的IP地址段、子网、安全组等子服务，也可以申请弹性带宽和弹性公网IP搭建业务系统。
,Elastic IP,弹性公网IP EIP,"An EIP is a public IP address that can be accessed directly over the Internet. An EIP consists of a public IP address and some amount of public network egress bandwidth. EIPs can be bound to or unbound from ECSs, BMSs, virtual IP",弹性公网IP（Elastic IP，简称EIP）提供独立的公网IP资源，包括公网IP地址与公网出口带宽服务。可以与弹性云服务器、裸金属服务器、虚拟IP、弹性负载均衡、NAT网关等资源灵活地绑定及解绑。
